"win","is_home","runs_scored","runs_allowed","run_diff","early_runs","middle_runs","late_runs","scored_first","led_after_3","led_after_6","AB","H","BB","SO","double","triple","HR","extra_base_hits","power_score","run_per_hit","offense_pressure_score","innings_pitched","hits_allowed","bb_allowed","hr_allowed","so_pitched","whip_like","strikeout_walk_ratio","run_prevention_score"
"win","home",3,2,1,1,2,0,"yes","yes","yes",26,6,4,4,3,0,0,3,3,0.5,8,9,6,4,0,11,1.11111111111111,2.75,5
"loss","away",2,3,-1,0,1,1,"no","no","no",30,6,4,11,2,0,0,2,2,0.333333333333333,2.5,8,6,4,0,4,1.25,1,-3
"win","home",5,3,2,2,3,0,"yes","yes","yes",28,9,5,2,2,1,0,3,4,0.555555555555556,12,9,7,4,1,6,1.22222222222222,1.5,-2
"loss","away",3,5,-2,1,2,0,"no","no","no",32,7,4,6,1,0,1,2,4,0.428571428571429,6,8,9,5,0,2,1.75,0.4,-8
"loss","home",5,9,-4,1,1,3,"yes","yes","no",35,12,1,4,2,0,0,2,2,0.416666666666667,6,9,14,2,0,7,1.77777777777778,3.5,-4
"win","away",9,5,4,0,7,2,"no","no","yes",41,14,2,7,1,1,0,2,3,0.642857142857143,9.5,9,12,1,0,4,1.44444444444444,4,-2
"win","home",12,1,11,5,6,1,"yes","yes","yes",36,12,8,5,1,0,3,4,10,1,21.5,9,7,3,0,5,1.11111111111111,1.66666666666667,1
"loss","away",1,12,-11,0,0,1,"no","no","no",33,7,3,5,0,0,0,0,0,0.142857142857143,1.5,8,12,8,3,5,2.5,0.625,-18
"win","home",1,0,1,0,0,1,"yes","no","no",32,7,0,13,0,0,1,1,3,0.142857142857143,-4.5,9,5,3,0,7,0.888888888888889,2.33333333333333,4
"loss","away",0,1,-1,0,0,0,"no","no","no",31,5,3,7,1,0,0,1,1,0,0.5,8.66666666666667,7,0,1,13,0.807692307692308,13,11
"win","home",7,1,6,0,5,2,"yes","no","yes",35,12,2,2,1,1,1,3,6,0.583333333333333,11,9,5,2,0,3,0.777777777777778,1.5,0
"loss","away",1,7,-6,0,0,1,"no","no","no",32,5,2,3,0,1,0,1,2,0.2,2.5,8,12,2,1,2,1.75,1,-8
"loss","home",3,4,-1,2,0,1,"yes","no","no",34,8,3,11,2,1,1,4,7,0.375,4.5,9,8,2,1,3,1.11111111111111,1.5,-4
"win","away",4,3,1,2,1,1,"no","no","yes",35,8,2,3,2,1,1,4,7,0.5,8.5,9,8,3,1,11,1.22222222222222,3.66666666666667,4
"loss","home",3,11,-8,2,1,0,"yes","yes","yes",34,6,2,7,2,0,0,2,2,0.5,3.5,9,11,5,1,3,1.77777777777778,0.6,-14
"win","away",11,3,8,0,0,11,"no","no","no",36,11,5,3,2,0,1,3,5,1,17.5,9,6,2,0,7,0.888888888888889,3.5,2
"win","home",4,3,1,1,2,0,"no","no","yes",36,11,4,9,1,0,0,1,1,0.363636363636364,4.5,10,9,1,0,3,1,3,-1
"loss","away",3,4,-1,1,0,2,"yes","no","no",38,9,1,3,4,0,0,4,4,0.333333333333333,6.5,9,11,4,0,9,1.66666666666667,2.25,1
"win","home",2,1,1,1,1,0,"no","no","yes",32,9,0,8,3,0,0,3,3,0.222222222222222,1,9,7,2,0,7,1,3.5,4
"loss","away",1,2,-1,1,0,0,"yes","no","no",33,7,2,7,2,0,0,2,2,0.142857142857143,1.5,8,9,0,0,8,1.125,8,6
"loss","home",0,5,-5,0,0,0,"no","no","no",30,4,3,9,1,0,0,1,1,0,-0.5,9,9,6,1,8,1.66666666666667,1.33333333333333,-4
"win","away",5,0,5,2,2,1,"yes","yes","yes",33,9,6,8,1,0,1,2,4,0.555555555555556,9,9,4,3,0,9,0.777777777777778,3,6
"loss","home",3,4,-1,2,1,0,"no","yes","no",35,10,4,6,1,0,0,1,1,0.3,5,9,11,0,0,7,1.22222222222222,7,3
"win","away",4,3,1,1,3,0,"yes","no","yes",35,11,0,7,1,0,0,1,1,0.363636363636364,1.5,9,10,4,0,6,1.55555555555556,1.5,-1
"win","away",7,1,6,3,1,3,"yes","yes","yes",38,15,3,4,3,0,0,3,3,0.466666666666667,11,9,4,4,1,15,0.888888888888889,3.75,9
"loss","home",1,7,-6,0,1,0,"no","no","no",30,4,4,15,0,0,1,1,3,0.25,-1.5,9,15,3,0,4,2,1.33333333333333,-6
"loss","home",2,4,-2,1,0,1,"yes","no","no",30,5,3,6,1,1,2,4,9,0.4,6,9,8,3,1,7,1.22222222222222,2.33333333333333,-1
"win","away",4,2,2,1,1,2,"no","no","yes",32,8,3,7,1,0,1,2,4,0.5,5.5,9,5,3,2,6,0.888888888888889,2,-1
"win","away",10,0,10,5,0,5,"yes","yes","yes",37,11,5,5,5,0,1,6,8,0.909090909090909,18.5,9,3,0,0,7,0.333333333333333,7,7
"loss","home",0,10,-10,0,0,0,"no","no","no",30,3,0,7,0,1,0,1,2,0,-2.5,9,11,5,1,5,1.77777777777778,1,-11
"loss","away",5,16,-11,0,4,1,"no","no","no",36,13,1,5,2,1,1,4,7,0.384615384615385,7.5,8,18,6,1,8,3,1.33333333333333,-15
"win","home",16,5,11,7,8,1,"yes","yes","yes",39,18,6,8,4,1,1,6,9,0.888888888888889,24,9,13,1,1,5,1.55555555555556,5,-2
"loss","away",3,4,-1,0,1,2,"yes","no","no",31,6,5,9,0,0,1,1,3,0.5,4.5,8.33333333333333,8,2,0,4,1.2,2,-2
"win","home",4,3,1,0,1,3,"no","no","no",31,8,2,4,1,0,0,1,1,0.5,5,9,6,5,1,9,1.22222222222222,1.8,0
"win","away",5,4,1,3,2,0,"yes","yes","yes",33,10,4,5,2,0,0,2,2,0.5,8.5,9,6,2,2,5,0.888888888888889,2.5,-3
"loss","home",4,5,-1,0,4,0,"no","no","no",32,6,2,5,0,0,2,2,6,0.666666666666667,5.5,9,10,4,0,5,1.55555555555556,1.25,-4
"win","away",14,4,10,1,10,3,"yes","yes","yes",43,17,6,6,4,1,3,8,15,0.823529411764706,25,9,9,3,0,8,1.33333333333333,2.66666666666667,1
"loss","home",4,14,-10,0,3,1,"no","no","no",33,9,3,8,0,0,0,0,0,0.444444444444444,3,9,17,6,3,6,2.55555555555556,1,-17
"win","away",3,2,1,1,1,1,"no","no","no",32,6,6,11,0,0,0,0,0,0.5,3.5,9,5,4,0,3,1,0.75,-3
"loss","home",2,3,-1,2,0,0,"no","yes","no",30,5,4,3,1,1,0,2,3,0.4,6.5,9,6,6,0,11,1.33333333333333,1.83333333333333,2
"loss","away",0,4,-4,0,0,0,"no","no","no",32,5,0,6,0,0,0,0,0,0,-3,8,11,2,0,3,1.625,1.5,-3
"win","home",4,0,4,1,0,3,"yes","yes","yes",29,11,2,3,0,0,0,0,0,0.363636363636364,4.5,9,5,0,0,6,0.555555555555556,6,6
"win","away",4,1,3,0,2,2,"no","no","yes",33,6,3,5,0,0,0,0,0,0.666666666666667,4.5,9,5,2,0,3,0.777777777777778,1.5,0
"loss","home",1,4,-3,1,0,0,"yes","yes","no",29,5,2,3,0,0,0,0,0,0.2,1.5,9,6,3,0,5,1,1.66666666666667,-2
"loss","away",0,2,-2,0,0,0,"no","no","no",29,3,2,10,0,0,0,0,0,0,-3,8,5,2,0,3,0.875,1.5,-1
"win","home",2,0,2,1,0,1,"yes","yes","yes",27,5,2,3,0,1,0,1,2,0.4,3.5,9,3,2,0,10,0.555555555555556,5,8
"win","home",4,0,4,4,0,0,"yes","yes","yes",30,8,3,8,0,1,2,3,8,0.5,6,9,7,2,0,9,1,4.5,7
"loss","away",0,4,-4,0,0,0,"no","no","no",35,7,2,9,2,0,0,2,2,0,-0.5,8,8,3,2,8,1.375,2.66666666666667,-1
"loss","away",4,5,-1,0,2,2,"yes","no","no",30,7,7,5,2,0,1,3,5,0.571428571428571,11.5,8,10,0,1,4,1.25,4,-2
