season,seq,date,stadium,awayTeam,homeTeam,batting_team,fielding_team,inning,half_inning,batterName,batterHand,pitcherName,pitcherHand,balls,strikes,outs,bases,awayScores,homeScores,score_diff_from_batting_team_view,RE,WPA,RE24,result,RBI,scored,endAwayScores,endHomeScores,endOuts,endBases,locationCode,trajectory,hardness,on_base,is_hit,is_extra_base_hit,is_strikeout,is_walk,rbi_positive
中職2024年,213,2024-10-11 18:35,樂天桃園棒球場,統一7-ELEVEn獅,樂天桃猿,統一7-ELEVEn獅,樂天桃猿,1,top,朱迦恩,L,邱駿威,R,1,2,0,0,0,0,0,0.527,-0.017,-0.251,SO,0,False,0,0,1,0,,,,0,0,0,1,0,0
中職2024年,213,2024-10-11 18:35,樂天桃園棒球場,統一7-ELEVEn獅,樂天桃猿,統一7-ELEVEn獅,樂天桃猿,1,top,陳聖平,L,邱駿威,R,0,0,1,0,0,0,0,0.276,-0.018,-0.172,FO,0,False,0,0,2,0,7,F,M,0,0,0,0,0,0
中職2024年,213,2024-10-11 18:35,樂天桃園棒球場,統一7-ELEVEn獅,樂天桃猿,統一7-ELEVEn獅,樂天桃猿,1,top,胡金龍,R,邱駿威,R,3,2,2,0,0,0,0,0.104,-0.014,-0.104,FO,0,False,0,0,3,0,89D,F,M,0,0,0,0,0,0
中職2024年,213,2024-10-11 18:35,樂天桃園棒球場,統一7-ELEVEn獅,樂天桃猿,統一7-ELEVEn獅,樂天桃猿,2,top,林益全,L,邱駿威,R,1,0,0,0,0,2,-2,0.527,0.039,0.392,1B,0,False,0,2,0,1,8,G,H,1,1,0,0,0,0
中職2024年,213,2024-10-11 18:35,樂天桃園棒球場,統一7-ELEVEn獅,樂天桃猿,統一7-ELEVEn獅,樂天桃猿,2,top,陳維祥,L,邱駿威,R,3,2,0,1,0,2,-2,0.919,-0.053,-0.361,SO,0,False,0,2,1,1,,,,0,0,0,1,0,0
中職2024年,213,2024-10-11 18:35,樂天桃園棒球場,統一7-ELEVEn獅,樂天桃猿,統一7-ELEVEn獅,樂天桃猿,2,top,何恆佑,L,邱駿威,R,0,0,1,1,0,2,-2,0.558,0.021,-0.332,FO,0,False,0,2,2,1,6,P,S,0,0,0,0,0,0
中職2024年,213,2024-10-11 18:35,樂天桃園棒球場,統一7-ELEVEn獅,樂天桃猿,統一7-ELEVEn獅,樂天桃猿,2,top,陳重廷,R,邱駿威,R,3,2,2,1,0,2,-2,0.226,-0.027,-0.226,SO,0,False,0,2,3,1,,,,0,0,0,1,0,0
中職2024年,213,2024-10-11 18:35,樂天桃園棒球場,統一7-ELEVEn獅,樂天桃猿,統一7-ELEVEn獅,樂天桃猿,3,top,柯育民,R,曾家輝,R,0,1,0,0,0,6,-6,0.527,-0.005,-0.251,GO,0,False,0,6,1,0,56,G,M,0,0,0,0,0,0
中職2024年,213,2024-10-11 18:35,樂天桃園棒球場,統一7-ELEVEn獅,樂天桃猿,統一7-ELEVEn獅,樂天桃猿,3,top,田子杰,L,曾家輝,R,1,2,1,0,0,6,-6,0.276,-0.004,-0.172,SO,0,False,0,6,2,0,,,,0,0,0,1,0,0
中職2024年,213,2024-10-11 18:35,樂天桃園棒球場,統一7-ELEVEn獅,樂天桃猿,統一7-ELEVEn獅,樂天桃猿,3,top,朱迦恩,L,曾家輝,R,1,1,2,0,0,6,-6,0.104,0.006,-0.104,GO,0,False,0,6,3,0,34,G,M,0,0,0,0,0,0
中職2024年,213,2024-10-11 18:35,樂天桃園棒球場,統一7-ELEVEn獅,樂天桃猿,統一7-ELEVEn獅,樂天桃猿,4,top,陳聖平,L,曾家輝,R,2,0,0,0,0,6,-6,0.527,0.0,-0.251,FO,0,False,0,6,1,0,89D,F,H,0,0,0,0,0,0
