"feature","domain","model_count","avg_rank","best_rank","consensus_score","sources"
"run_per_hit","進攻效率",4,1.25,1,3.2,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"innings_pitched","防守/投手效率",4,1.75,1,2.28571428571429,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"H","進攻效率",4,4.75,4,0.842105263157895,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"scored_first","得分節奏",4,5.75,4,0.695652173913043,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"whip_like","防守/投手效率",4,5.75,3,0.695652173913043,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"hr_allowed","防守/投手效率",4,6,4,0.666666666666667,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"hits_allowed","防守/投手效率",4,6.75,5,0.592592592592593,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"AB","進攻效率",4,8.5,7,0.470588235294118,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"middle_runs","得分節奏",4,9.25,8,0.432432432432432,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"late_runs","得分節奏",4,10.75,8,0.372093023255814,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"is_home","主客場因素",3,8.2,3,0.365853658536585,"Logistic coefficient; XGBoost Gain; XGBoost SHAP"
"BB","進攻效率",4,15,14,0.266666666666667,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"early_runs","得分節奏",4,15.75,12,0.253968253968254,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"so_pitched","防守/投手效率",4,16,10,0.25,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"strikeout_walk_ratio","防守/投手效率",4,16.25,13,0.246153846153846,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"led_after_3","得分節奏",4,17,14,0.235294117647059,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"SO","進攻效率",4,17.5,16,0.228571428571429,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"bb_allowed","防守/投手效率",4,19.25,11,0.207792207792208,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"HR","進攻效率",4,20.25,19,0.197530864197531,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"triple","進攻效率",4,20.5,17,0.195121951219512,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"power_score","進攻效率",3,15.6666666666667,13,0.191489361702128,"Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"double","進攻效率",4,21.25,17,0.188235294117647,"Logistic coefficient; Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"extra_base_hits","進攻效率",3,17,15,0.176470588235294,"Random Forest permutation; XGBoost Gain; XGBoost SHAP"
"is_","其他",1,11,11,0.0909090909090909,"Random Forest permutation"
