"model","metric","mean","sd"
"Controlled Logistic","accuracy",0.931980481204619,0.0131334811890293
"Controlled Logistic","sensitivity",0.938575899843505,0.0157906385529034
"Controlled Logistic","specificity",0.925418569254186,0.0287696775741811
"Controlled Logistic","precision",0.926419016921837,0.0267031126780438
"Controlled Logistic","f1",0.932182981252298,0.0125318772676432
"Random Forest","accuracy",0.920859523618144,0.022176043280549
"Random Forest","sensitivity",0.938654147104851,0.0302878562868776
"Random Forest","specificity",0.903158295281583,0.0473820695213819
"Random Forest","precision",0.907464087529099,0.03910056515457
"Random Forest","f1",0.922061152700604,0.0205263617330491
"XGBoost","accuracy",0.92500716716234,0.0284107144663769
"XGBoost","sensitivity",0.94706572769953,0.0265844998451167
"XGBoost","specificity",0.903120243531202,0.0599392676959042
"XGBoost","precision",0.909097186721915,0.0511096607399165
"XGBoost","f1",0.926778678215252,0.0257472004224094
