"feature","estimate","std_error","z_value","p_value","odds_ratio","direction"
"AB",-1.16307576667125,0.170241779699291,-6.8319055917159,8.37939915012706e-12,0.312523451859449,"降低勝率"
"is_homehome",-3.18130429251965,0.595184786664293,-5.34506990736313,9.03821639397861e-08,0.0415314506192212,"降低勝率"
"H",1.30866476643214,0.250148637172725,5.23154865532417,1.68095776317114e-07,3.70122840696486,"提高勝率"
"hr_allowed",-1.60300619011785,0.3565372919146,-4.49604074095511,6.92304768930045e-06,0.201290490051438,"降低勝率"
"innings_pitched",4.94964017600873,1.22009900993714,4.0567528829187,4.97596813020788e-05,141.12417492059,"提高勝率"
"scored_firstyes",1.52376054631374,0.495425645669592,3.07565940445877,0.00210037622357729,4.58945162984717,"提高勝率"
"late_runs",0.999230158625242,0.372112155110475,2.68529298197364,0.0072466251627751,2.71618998793525,"提高勝率"
"middle_runs",0.924128328615945,0.365977159966468,2.52509836597622,0.0115665908937713,2.51967097775455,"提高勝率"
"run_per_hit",6.81583021017611,2.72136452170259,2.50456348490641,0.0122602600564576,912.173497233626,"提高勝率"
"strikeout_walk_ratio",-0.321659967396668,0.141429824655225,-2.27434325242787,0.0229453565203556,0.724944653242529,"降低勝率"
"BB",-0.247616695439993,0.128094367148459,-1.93308028254678,0.0532263086452355,0.780659116136237,"降低勝率"
"early_runs",0.575748614901855,0.357748870134859,1.60936529215261,0.107536489881277,1.77846141140685,"提高勝率"
"hits_allowed",-0.903131256649211,0.752246176811077,-1.20057939074914,0.229914399454564,0.405298576872067,"降低勝率"
"bb_allowed",-0.885021836383211,0.773136544552968,-1.14471608232532,0.252326787245724,0.412705161192602,"降低勝率"
"SO",0.081002994826563,0.0756731981495341,1.07043176193633,0.284425008976281,1.08437414407439,"提高勝率"
"so_pitched",0.112167660290663,0.105079040909134,1.06745987896539,0.285764221624335,1.11870040655793,"提高勝率"
"led_after_3yes",-0.169470128075333,0.583983412458035,-0.290196818026079,0.77166567037475,0.844111969352911,"降低勝率"
"triple",-0.140276040983986,0.514140592150366,-0.272835957957119,0.784979317345104,0.869118290014974,"降低勝率"
"double",0.0286119171695646,0.183823913278433,0.155648504371828,0.876310089873414,1.0290251699747,"提高勝率"
"HR",-0.0572993378238656,0.373439451938997,-0.153436755346422,0.878053861472202,0.944311358948434,"降低勝率"
"whip_like",0.309352982880941,6.67927746321695,0.046315336439392,0.963058915715815,1.36254324006735,"提高勝率"
