"feature","estimate","std_error","z_value","p_value","odds_ratio","direction"
"runs_allowed",-30.6988359655179,8683.89423683355,-0.00353514622913138,0.997179367278626,4.65227029715765e-14,"降低勝率"
"runs_scored",40.8774414183988,27574.7135909241,0.00148242487754626,0.998817196510874,566040156455727872,"提高勝率"
"led_after_3yes",13.0697033076145,18372.0307825021,0.000711391324254823,0.999432391893564,474351.22514967,"提高勝率"
"early_runs",-15.739733396782,22921.6555879669,-0.000686675241950882,0.999452112469219,1.45989169896296e-07,"降低勝率"
"middle_runs",-8.62401306262062,21380.8914490813,-0.000403351426349961,0.999678172133064,0.000179737507583088,"降低勝率"
"late_runs",-9.39418440716803,24092.8570145646,-0.000389915749779658,0.99968889225112,8.32065566653667e-05,"降低勝率"
"double",2.01535658153121,7890.0622658825,0.000255429743596047,0.999796196553431,7.50340247897462,"提高勝率"
"innings_pitched",-10.5052497541817,46939.1552109593,-0.000223805684336835,0.999821428901339,2.73922685476439e-05,"降低勝率"
"AB",-1.08456948361267,5152.59401462445,-0.000210489994075676,0.999832053284764,0.338047289469439,"降低勝率"
"SO",0.606653743053138,3312.87569393165,0.000183119983694038,0.999853891393053,1.8342831350005,"提高勝率"
"scored_firstyes",-2.97585237753281,17940.9886044398,-0.000165868918549805,0.999867655751379,0.0510039408572257,"降低勝率"
"hr_allowed",2.41227560642316,16321.0690489865,0.000147801323502945,0.99988207160634,11.1593265084082,"提高勝率"
"triple",3.17615597682615,22707.7388949089,0.000139871080582939,0.999888399024664,23.9544947103225,"提高勝率"
"BB",-0.53236151852601,4100.60610678684,-0.000129825080649641,0.999896414572836,0.587216608103962,"降低勝率"
"HR",1.70891601776425,13999.586122312,0.000122069038529693,0.999902602999047,5.52297142873995,"提高勝率"
"bb_allowed",4.74222575311497,40399.6972415798,0.000117382705240529,0.999906342151998,114.68918762362,"提高勝率"
"led_after_6yes",1.87072564328747,18260.8777546038,0.000102444453570467,0.999918261152299,6.49300629666203,"提高勝率"
"whip_like",-38.2483938001737,391074.172527182,-9.78034257619383e-05,0.999921964156715,2.44868900349548e-17,"降低勝率"
"hits_allowed",3.7595956627496,41760.2329822212,9.0028129497031e-05,0.999928167945533,42.9310638406098,"提高勝率"
"so_pitched",0.225051357821475,4412.07523550692,5.10080508170705e-05,0.999959301463794,1.25238703440996,"提高勝率"
"is_homehome",0.651963262058738,15800.0723707564,4.12633085950558e-05,0.999967076643154,1.91930523169081,"提高勝率"
"run_per_hit",3.69260043725458,119988.262151388,3.07746805482995e-05,0.999975445357531,40.1491165837206,"提高勝率"
"H",0.135245740049878,6971.26453955708,1.94004601722475e-05,0.999984520672357,1.14481807743886,"提高勝率"
"strikeout_walk_ratio",0.100551503856244,7343.08112121735,1.36933668846048e-05,0.999989074273978,1.10578059220214,"提高勝率"
