"feature","estimate","std_error","z_value","p_value","odds_ratio","direction"
"run_prevention_score",30.698835966537,8683.89423744912,0.00353514622899814,0.997179367278733,21494881792015.4,"提高勝率"
"so_pitched",-30.4737846090692,11747.8525479604,-0.00259398766580195,0.997930299611634,5.82644299273216e-14,"降低勝率"
"SO",21.045374452731,12831.1641859878,0.00164017653797256,0.99869132905012,1380034661.36457,"提高勝率"
"BB",-41.4098029383394,27587.3716261523,-0.00150104198034886,0.998802342228508,1.03741156979065e-18,"降低勝率"
"hr_allowed",33.1111115750734,22062.1296297595,0.00150081212152837,0.998802525629106,239868404683642,"提高勝率"
"offense_pressure_score",40.8774414198119,27574.7135894612,0.00148242487767615,0.99881719651077,566040157255586560,"提高勝率"
"double",-38.8620848390593,29858.3258851657,-0.00130154935640135,0.998961514156609,1.32559543293045e-17,"降低勝率"
"HR",-39.1685254013234,31273.9148622492,-0.00125243435539961,0.999000702225656,9.75720779161318e-18,"降低勝率"
"triple",-37.7012854434264,37225.2580039364,-0.00101278775393416,0.999191912425914,4.23194262681087e-17,"降低勝率"
"bb_allowed",35.4410617173729,37498.1021479782,0.000945142812228532,0.999245885254644,2465230525173552,"提高勝率"
"led_after_3yes",13.0697033070304,18372.0307763356,0.000711391324461805,0.999432391893398,474351.224872599,"提高勝率"
"early_runs",-15.7397333996818,22921.6555954981,-0.000686675241851778,0.999452112469298,1.45989169472944e-07,"降低勝率"
"middle_runs",-8.62401306575391,21380.8914539033,-0.000403351426405539,0.99967817213302,0.000179737507019919,"降低勝率"
"late_runs",-9.39418441151275,24092.8570168182,-0.000389915749923517,0.999688892251005,8.3206556303857e-05,"降低勝率"
"innings_pitched",-10.5052497536836,46939.1552160306,-0.000223805684302045,0.999821428901366,2.73922685612859e-05,"降低勝率"
"AB",-1.08456948285548,5152.59401249147,-0.00021048999401586,0.999832053284811,0.338047289725403,"降低勝率"
"scored_firstyes",-2.9758523801311,17940.9886000132,-0.000165868918735555,0.999867655751231,0.0510039407247023,"降低勝率"
"led_after_6yes",1.87072564059556,18260.8777536356,0.000102444453428483,0.999918261152412,6.4930062791834,"提高勝率"
"whip_like",-38.2483937693619,391074.172562396,-9.78034256743439e-05,0.999921964156785,2.44868907894397e-17,"降低勝率"
"hits_allowed",3.75959565958602,41760.2329855779,9.00281294140389e-05,0.9999281679456,42.9310637047941,"提高勝率"
"is_homehome",0.65196326193121,15800.0723678899,4.12633085944706e-05,0.999967076643154,1.91930523144605,"提高勝率"
"run_per_hit",3.69260045133536,119988.262194512,3.07746806545902e-05,0.999975445357446,40.1491171490516,"提高勝率"
"H",0.135245741123709,6971.26454166617,1.94004603204147e-05,0.999984520672239,1.1448180786682,"提高勝率"
"strikeout_walk_ratio",0.100551504324381,7343.08111880759,1.36933669528505e-05,0.999989074273923,1.10578059271979,"提高勝率"
