"feature","baseline_accuracy","permuted_accuracy","importance"
"innings_pitched",1,0.861111111111111,0.138888888888889
"run_per_hit",1,0.922222222222222,0.0777777777777777
"whip_like",1,0.945833333333333,0.0541666666666667
"scored_first",1,0.990277777777778,0.00972222222222219
"H",1,0.994444444444444,0.00555555555555554
"hr_allowed",1,0.994444444444444,0.00555555555555554
"hits_allowed",1,0.997222222222222,0.00277777777777777
"middle_runs",1,0.998611111111111,0.00138888888888888
"AB",1,0.998611111111111,0.00138888888888888
"so_pitched",1,0.998611111111111,0.00138888888888888
"is_home",1,1,0
"early_runs",1,1,0
"late_runs",1,1,0
"led_after_3",1,1,0
"BB",1,1,0
"SO",1,1,0
"double",1,1,0
"triple",1,1,0
"HR",1,1,0
"extra_base_hits",1,1,0
"power_score",1,1,0
"bb_allowed",1,1,0
"strikeout_walk_ratio",1,1,0
