"Feature","Gain","Cover","Frequency"
"run_per_hit",0.272425687593352,0.188304655385703,0.139555555555556
"innings_pitched",0.244492325188547,0.171344730580359,0.109333333333333
"whip_like",0.177355198105432,0.150749186235949,0.133333333333333
"H",0.0682521481669974,0.103760341300539,0.107555555555556
"hits_allowed",0.0479810092091663,0.0661978185652048,0.0711111111111111
"scored_firstyes",0.0370768127774082,0.0376162083589173,0.0382222222222222
"hr_allowed",0.0308337426803234,0.0632249151138762,0.056
"is_homeaway",0.0237429546778882,0.0310516023358856,0.032
"AB",0.0200072497772488,0.0504295653211652,0.0702222222222222
"middle_runs",0.0193168115617025,0.0357796599368985,0.0515555555555556
"late_runs",0.0141701433987218,0.0285303280266802,0.0337777777777778
"is_homehome",0.00880450877304683,0.0116227434387804,0.00977777777777778
"power_score",0.00725555968345978,0.00851932252982654,0.0266666666666667
"strikeout_walk_ratio",0.00554176048053227,0.0102491528144556,0.0231111111111111
"extra_base_hits",0.00473741515872676,0.00405057096918574,0.0115555555555556
"BB",0.00450030647319357,0.0112923902509527,0.0195555555555556
"so_pitched",0.0036579253754262,0.00678286644652053,0.016
"SO",0.00342474049789645,0.00626505629127968,0.0186666666666667
"early_runs",0.00223313098825657,0.006410288312157,0.0115555555555556
"led_after_3yes",0.0017421206981215,0.00267396484372401,0.00622222222222222
"HR",0.000857420128976531,0.00143213305210576,0.00444444444444444
"bb_allowed",0.000721873071777498,0.00147069032074275,0.00533333333333333
"triple",0.000450297615577285,0.00101626925095413,0.00266666666666667
"double",0.000418857918221011,0.0012255403181375,0.00177777777777778
