"max_depth","eta","subsample","colsample_bytree","nrounds","mean_accuracy","sd_accuracy","mean_f1","sd_f1"
4,0.05,0.8,0.8,200,0.931942300994025,0.0316447710867297,0.933247427710994,0.0289975571358121
4,0.05,1,0.8,100,0.930533987085711,0.0278766083553215,0.932711120194238,0.0243263957854845
3,0.1,0.8,1,100,0.930562856683546,0.023053525184466,0.931492161128666,0.0211867833283776
4,0.05,0.8,1,100,0.929164255284945,0.0216551585460151,0.931158213510714,0.0182270026232028
4,0.03,1,1,200,0.929154676740884,0.0248006882704984,0.930940607203031,0.0216303785040461
4,0.1,0.8,1,100,0.929193392814082,0.0330719035035309,0.930710507008534,0.0301956172004904
2,0.05,0.8,1,200,0.929144964231171,0.0228209335522865,0.930675698298786,0.0201757768113878
4,0.1,1,0.8,200,0.929212683867856,0.0337396491044883,0.930581312990351,0.0313185007040673
4,0.05,0.8,0.8,100,0.927785078905769,0.0313322544526654,0.929628276262079,0.0283012343166806
3,0.05,0.8,1,200,0.927756075342282,0.0254186045051299,0.929435611375285,0.02291765898017
3,0.05,1,0.8,200,0.927765921817646,0.0342598034394107,0.92936130480561,0.0305496640478726
3,0.1,1,1,100,0.927736784288508,0.0268139595909729,0.929319116995173,0.023764595499518
3,0.03,1,0.8,200,0.927736784288508,0.0239643812816938,0.929173230501233,0.0203864498327727
3,0.1,1,0.8,100,0.927794523484179,0.015136409019985,0.928803405226682,0.0130536729289663
4,0.05,1,1,100,0.926367186453393,0.0281194954655188,0.928549444782425,0.0243726974587792
4,0.03,0.8,0.8,200,0.92639619001688,0.0316830816061128,0.928475934408626,0.0279819846940153
4,0.05,1,0.8,200,0.926405902526592,0.0331333387633915,0.928291446298988,0.0298712052413939
4,0.05,1,1,200,0.926405768560941,0.0262286990460159,0.928030495583629,0.0241104547090007
2,0.1,0.8,0.8,100,0.926367052487742,0.022953325531479,0.928030033991957,0.0197280524587574
3,0.03,0.8,1,200,0.926376764997455,0.0249104771958168,0.928000664108151,0.0220993214896638
4,0.03,0.8,0.8,100,0.926386477507167,0.0271843865912349,0.927905006998967,0.0239347344826936
2,0.1,1,0.8,200,0.926376631031803,0.0144671257157395,0.927851703660342,0.0128009667996183
3,0.1,0.8,1,200,0.926405768560941,0.0262286990460159,0.927473250281978,0.0243537313817227
4,0.03,1,0.8,200,0.925026458216113,0.026105479412241,0.92740991488754,0.022625374886865
3,0.1,0.8,0.8,200,0.926425059614715,0.0279689867868241,0.927244962342798,0.0263624923602801
4,0.1,0.8,0.8,100,0.926405768560941,0.0271202337624546,0.92720484871563,0.025512268199
4,0.1,1,1,100,0.925016745706401,0.0226885818393113,0.926804485027762,0.0202857738920433
2,0.03,0.8,1,200,0.924949294001018,0.0309963235616646,0.926647850506819,0.0280174185990268
2,0.05,1,0.8,200,0.924949026069716,0.0182549048064964,0.926529250780772,0.0156669933230735
2,0.1,1,1,100,0.924968451089141,0.0187758074150433,0.92644644886568,0.0155088954079695
4,0.05,0.8,1,200,0.924997588618278,0.0320188056910597,0.926242272347536,0.0293975777132415
3,0.05,0.8,0.8,200,0.925026458216113,0.0256459517760813,0.926135659526934,0.0239660282258409
4,0.03,0.8,1,200,0.923647147871286,0.027282124096882,0.925505836448313,0.0244564989785282
4,0.1,0.8,1,200,0.923647281836937,0.0363316299171207,0.925421646192437,0.0334961402098
4,0.1,1,0.8,100,0.923589408675616,0.0322486161329669,0.925405830831469,0.0287264178358021
2,0.05,0.8,1,100,0.923569983656191,0.0300289647554401,0.925345168514482,0.0271201473207685
3,0.05,1,1,200,0.923598853254026,0.0230797431669819,0.925239225596433,0.0199695993694052
2,0.05,0.8,0.8,200,0.923579696165903,0.0315511708855029,0.924957684082821,0.0287212032940702
4,0.1,0.8,0.8,200,0.923656860380998,0.0324667611383156,0.92454441067207,0.0308238849312135
2,0.1,1,0.8,100,0.922190539345712,0.0187980674385757,0.924295233129144,0.0156978876204809
4,0.03,1,1,100,0.922190539345712,0.0187980674385757,0.924251091512446,0.0157405846200155
4,0.03,0.8,1,100,0.922238833962972,0.0226996404402885,0.924039638540503,0.0201804620573274
3,0.1,1,1,200,0.922239101894274,0.0371561068888188,0.923685038134121,0.0342607368530675
2,0.1,0.8,1,100,0.922200251855424,0.0238480812248279,0.923466569995963,0.0215029648598664
4,0.1,1,1,200,0.922248680438336,0.0322753535250969,0.923249262969402,0.0299992568182341
4,0.03,1,0.8,100,0.920830654020309,0.0243795201278821,0.923157451961861,0.0209498927212039
3,0.1,1,0.8,200,0.922267971492109,0.0337277070233344,0.922972277053723,0.0317958736301796
3,0.05,0.8,0.8,100,0.920840366530022,0.0301034093580957,0.922658652090519,0.0270745515873752
2,0.05,1,1,200,0.92079193794711,0.0202225288175072,0.922438570219503,0.017026399820332
3,0.03,0.8,0.8,100,0.920859389652493,0.016597578943542,0.922251087488837,0.0148780293386136
2,0.1,1,1,200,0.920878948637569,0.0283546640659685,0.922125283167537,0.0265615791096717
3,0.05,1,0.8,100,0.920801650456823,0.0195237613532623,0.921933889199657,0.0169496625793656
3,0.03,0.8,0.8,200,0.920830654020309,0.0238868120272244,0.921880269105435,0.0209242604908794
3,0.05,0.8,1,100,0.920849945074083,0.0253123913971576,0.92183813867604,0.0227942497056872
2,0.03,0.8,0.8,200,0.919460922219543,0.0233391496945778,0.921415752377848,0.0207719501246515
2,0.03,1,1,200,0.91940291509257,0.0190345217617282,0.921285816104114,0.0163205138053019
3,0.03,0.8,1,100,0.919460922219543,0.0280573887025563,0.92127153503896,0.025495512083984
2,0.03,1,0.8,200,0.919422206146344,0.0161666858314519,0.921211753781584,0.0136392740635672
3,0.1,0.8,0.8,100,0.919480347238968,0.0292057313461894,0.920790046136189,0.0268587212518722
2,0.1,0.8,0.8,200,0.919480213273317,0.0198710763722129,0.920778242557741,0.0183009967791951
3,0.03,1,1,200,0.919403049058221,0.0201854715444161,0.920758350613571,0.0169743424634592
2,0.1,0.8,1,200,0.919470500763604,0.0142317020692638,0.920396649385212,0.0133846328896271
2,0.05,0.8,0.8,100,0.918072167296305,0.0315758914133237,0.920228984859876,0.0289871503288776
3,0.05,1,1,100,0.918033183291804,0.0126248690587315,0.919895135437168,0.0104389066452639
2,0.05,1,1,100,0.916634715858854,0.0210204908702665,0.918639821960185,0.0182432222380683
3,0.03,1,1,100,0.916673297966401,0.0202660354009202,0.917678632195149,0.0180800647781727
3,0.03,1,0.8,100,0.91532299118506,0.0197065070306914,0.916297702263141,0.0180970111738175
2,0.03,0.8,1,100,0.912525788387857,0.0253153495562238,0.914672017856792,0.023028804590012
2,0.05,1,0.8,100,0.909719007046593,0.022028312036106,0.911177049804986,0.019462792191114
2,0.03,0.8,0.8,100,0.907027972027972,0.0286387368469014,0.908036954214983,0.0277114550627861
2,0.03,1,0.8,100,0.905571497468049,0.0233268686412634,0.907790624736933,0.0202557154143154
2,0.03,1,1,100,0.904211478176995,0.0225459853354003,0.90583225067451,0.0206538902270794
